,PV,nonCriticalLoad,criticalLoad
05/25/2015 1430,993.5756268170829,4538.1269999999995,1360.586
05/25/2015 1445,973.4550916708172,4538.8189999999995,1359.228
05/25/2015 1500,948.451928882267,4511.040999999999,1358.221
05/25/2015 1515,918.5335829464785,4521.785,1362.263
05/25/2015 1530,883.8227690999212,4545.227,1362.925
05/25/2015 1545,844.519390910961,4562.209999999999,1367.379
05/25/2015 1600,800.8306399900005,4770.356999999999,1380.9009999999998
05/25/2015 1615,752.9188858351838,4840.565,1371.6009999999999
05/25/2015 1630,700.8754278365448,4853.814,1374.9989999999998
05/25/2015 1645,644.7273173054064,4877.362,1393.234
05/25/2015 1700,584.4833332424123,4939.651,1406.204
05/25/2015 1715,520.2235036244309,4957.247,1409.41
05/25/2015 1730,452.23380988643106,5008.352,1430.8110000000001
05/25/2015 1745,381.1826520644904,5028.862,1449.115
05/25/2015 1800,308.326347311863,5071.406,1444.125
05/25/2015 1815,235.71302747352348,5114.757,1450.6460000000002
05/25/2015 1830,166.31881672843832,5144.671,1465.9180000000001
05/25/2015 1845,103.98271706391517,5167.089,1483.746
05/25/2015 1900,52.897725423631,5233.524,1488.902
05/25/2015 1915,16.34893239884862,5336.034,1536.688
05/25/2015 1930,-0.1,5430.599,1543.292
05/25/2015 1945,-0.1,5611.689,1598.621
05/25/2015 2000,-0.1,5877.605,1662.2689999999998
05/25/2015 2015,-0.1,6078.963,1702.134
05/25/2015 2030,-0.1,6107.309,1720.295
05/25/2015 2045,-0.1,6115.138,1711.6770000000001
05/25/2015 2100,-0.1,6053.049,1689.334
05/25/2015 2115,-0.1,5979.552,1647.679
05/25/2015 2130,-0.1,5881.462,1626.204
05/25/2015 2145,-0.1,5743.518,1590.16
05/25/2015 2200,-0.1,5555.720000000001,1543.045
05/25/2015 2215,-0.1,5372.429999999999,1496.75
05/25/2015 2230,-0.1,5179.972,1449.474
05/25/2015 2245,-0.1,4961.007,1399.635
05/25/2015 2300,-0.1,4758.232,1349.047
05/25/2015 2315,-0.1,4532.03,1294.4160000000002
05/25/2015 2330,-0.1,4335.843,1251.8319999999999
